City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,Race,Count
Minneapolis,Minnesota,32.4,206547,204388,410935,15217,70769,2.26,MN,American Indian and Alaska Native,9238
Pittsburg,California,34.5,33309,36118,69427,2109,21043,3.15,CA,American Indian and Alaska Native,2253
San Ramon,California,39.1,39221,36911,76132,2855,29691,3.09,CA,American Indian and Alaska Native,609
Sugar Land,Texas,42.1,43889,44240,88129,4377,31169,2.95,TX,Black or African-American,8993
Philadelphia,Pennsylvania,34.1,741270,826172,1567442,61995,205339,2.61,PA,White,688130
Bay,Texas,32.9,37977,37508,75485,3478,13192,2.59,TX,White,48797
Saint Joseph,Missouri,35.7,37688,38408,76096,5846,3755,2.58,MO,Black or African-American,6964
Westminster,Colorado,37.8,54866,58251,113117,6512,11361,2.63,CO,Asian,8668
Columbus,Ohio,32.5,413981,435086,849067,40238,101129,2.4,OH,White,549468
Rochester,Minnesota,35,54934,57282,112216,6888,17763,2.55,MN,White,93477
Overland Park,Kansas,38.2,93355,93156,186511,10461,21407,2.41,KS,American Indian and Alaska Native,1264
Santa Clara,California,35.2,63278,62938,126216,4426,52281,2.75,CA,Hispanic or Latino,22402
New Orleans,Louisiana,35.9,185736,203881,389617,17388,21679,2.41,LA,Hispanic or Latino,21850
Quincy,Massachusetts,41,44129,49500,93629,4147,32935,2.39,MA,Hispanic or Latino,2566
Jurupa Valley,California,33.8,49430,50884,100314,3833,25338,3.87,CA,Asian,4992
Milwaukee,Wisconsin,31.6,286315,313839,600154,20615,58321,2.51,WI,Hispanic or Latino,110335
Toms River,New Jersey,43.7,43864,43886,87750,5042,6852,2.71,NJ,Black or African-American,3703
Youngs,Ohio,37.5,30758,33851,64609,3620,1058,2.22,OH,American Indian and Alaska Native,875
Saint Louis,Missouri,35,153026,162659,315685,17060,21802,2.16,MO,White,155574
Fontana,California,29.5,100644,106828,207472,4076,61448,4.15,CA,White,85044
Grand Prairie,Texas,33.1,90811,96944,187755,7073,44888,3.18,TX,American Indian and Alaska Native,1754
Southfield,Michigan,41.6,31369,41808,73177,4035,4011,2.27,MI,Black or African-American,54200
Palm Coast,Florida,48.8,39489,42632,82121,7950,9084,2.76,FL,Black or African-American,10786
Norwalk,Connecticut,42.4,40880,47603,88483,2877,22328,2.7,CT,Hispanic or Latino,24682
Arden-Arcade,California,41.5,47596,48680,96276,6511,13458,2.18,CA,Black or African-American,13647
Fort Wayne,Indiana,34.7,124815,133329,258144,13539,19146,2.45,IN,White,204114
Carmel,Indiana,39.9,42928,46101,89029,2723,9645,2.71,IN,Black or African-American,2171
Troy,Michigan,43.3,42371,40905,83276,2975,21004,2.59,MI,Hispanic or Latino,2400
San Antonio,Texas,33.1,721405,748419,1469824,109089,208046,2.93,TX,Black or African-American,119542
Kendall,Florida,40.2,36658,39808,76466,1678,31180,2.81,FL,Asian,3650
Inglewood,California,34.9,52995,58661,111656,2703,34171,3.12,CA,American Indian and Alaska Native,1395
Cedar Rapids,Iowa,36.2,63109,67296,130405,7823,5404,2.32,IA,Asian,5406
Miami Gardens,Florida,34.9,50719,62480,113199,2327,33394,3.75,FL,White,27273
Rock Hill,South Carolina,34.5,33324,38243,71567,4755,2413,2.29,SC,American Indian and Alaska Native,610
North Las Vegas,Nevada,32.2,116350,118443,234793,17256,49815,3.31,NV,Black or African-American,54093
Riverside,California,31.4,160613,161810,322423,12373,69584,3.34,CA,Black or African-American,26147
Turlock,California,36.2,33190,39103,72293,3397,14686,2.76,CA,Asian,5232
Longview,Texas,36.8,40065,41525,81590,5512,8782,2.55,TX,Black or African-American,19904
Pasadena,California,37.6,67712,74534,142246,4618,40779,2.63,CA,American Indian and Alaska Native,2161
Hollywood,Florida,41.4,75358,74363,149721,6056,55158,2.65,FL,American Indian and Alaska Native,1010
Canton,Ohio,33.4,34476,37419,71895,3404,2204,2.32,OH,White,53571
Naperville,Illinois,38.5,71365,75794,147159,4545,30399,2.76,IL,Asian,31221
Boston,Massachusetts,31.8,322149,347320,669469,18350,190123,2.38,MA,White,378543
Warner Robins,Georgia,31.4,35093,38909,74002,6974,3210,2.5,GA,Asian,2723
Newport Beach,California,46.8,43161,43970,87131,4847,15318,2.4,CA,American Indian and Alaska Native,423
Clovis,California,37.8,52392,51780,104172,6173,13409,2.76,CA,American Indian and Alaska Native,1876
Temecula,California,34.2,54407,57619,112026,7587,18884,3.34,CA,Asian,14532
Kansas City,Missouri,35.9,228430,246931,475361,24710,37787,2.35,MO,White,296623
Kent,Washington,33.4,61825,65137,126962,7985,38175,3.06,WA,American Indian and Alaska Native,3651
Danbury,Connecticut,37.3,43435,41227,84662,3752,25675,2.74,CT,Asian,7350
New Orleans,Louisiana,35.9,185736,203881,389617,17388,21679,2.41,LA,Black or African-American,234645
Broken Arrow,Oklahoma,36.8,52136,55459,107595,6797,6845,2.77,OK,American Indian and Alaska Native,11963
Spring Valley,Nevada,37,96808,97147,193955,10644,61072,2.79,NV,Hispanic or Latino,40374
Bethlehem,Pennsylvania,35.1,35861,38506,74367,4704,6295,2.46,PA,Hispanic or Latino,23409
Macon,Georgia,36,71833,81626,153459,10735,4846,2.46,GA,Black or African-American,84569
Albany,New York,32.8,47627,50825,98452,3643,11948,2.08,NY,White,58368
Lee's Summit,Missouri,36.8,48353,46715,95068,6624,3803,2.68,MO,Asian,3013
Nashville,Tennessee,34.1,314231,340365,654596,27942,88193,2.39,TN,Hispanic or Latino,67526
Lancaster,California,30.9,80668,80445,161113,7892,17247,3.25,CA,Asian,8654
Jacksonville,North Carolina,24.2,40015,27348,67363,8252,3732,2.51,NC,Black or African-American,13253
Bossier City,Louisiana,32.7,33428,34669,68097,8108,2980,2.4,LA,American Indian and Alaska Native,630
Racine,Wisconsin,33.7,39314,38423,77737,4650,4403,2.56,WI,American Indian and Alaska Native,1371
Farmington Hills,Michigan,42.1,37527,43805,81332,3650,18033,2.41,MI,White,57815
Santa Monica,California,40.6,46732,46487,93219,2008,24448,2,CA,White,70365
Schenectady,New York,36.7,32398,32901,65299,3388,10961,2.82,NY,Black or African-American,15640
New Braunfels,Texas,37,33071,36852,69923,5204,5405,2.85,TX,American Indian and Alaska Native,648
Iowa City,Iowa,25.5,37089,37138,74227,2047,9202,2.36,IA,Hispanic or Latino,4072
Waterbury,Connecticut,36.2,52235,56572,108807,3493,19967,2.71,CT,American Indian and Alaska Native,492
Providence,Rhode Island,29.9,89090,90114,179204,4933,53532,2.72,RI,Black or African-American,30638
New Haven,Connecticut,29.9,63765,66545,130310,2567,25871,2.48,CT,White,56251
Metairie,Louisiana,41.6,69515,76943,146458,7187,19871,2.39,LA,American Indian and Alaska Native,438
Lancaster,California,30.9,80668,80445,161113,7892,17247,3.25,CA,Black or African-American,36007
Santa Barbara,California,37.8,45068,46784,91852,4518,19441,2.51,CA,Hispanic or Latino,31102
Daly City,California,39.7,53817,52757,106574,3782,56640,3.26,CA,Hispanic or Latino,24316
Billings,Montana,36.3,52705,57565,110270,9121,3206,2.4,MT,Hispanic or Latino,7526
Fullerton,California,34.5,69549,71300,140849,5394,43404,2.97,CA,Asian,33937
Paradise,Nevada,37.2,122784,114162,236946,14112,66712,2.65,NV,American Indian and Alaska Native,4314
Cicero,Illinois,28.5,43153,40714,83867,629,33801,3.89,IL,Hispanic or Latino,76425
Missoula,Montana,34.7,35002,36022,71024,4733,2771,2.15,MT,American Indian and Alaska Native,3618
Yakima,Washington,34,45147,48553,93700,4705,15717,2.74,WA,Hispanic or Latino,44172
Wilmington,Delaware,36.4,32680,39277,71957,3063,3336,2.45,DE,Asian,1193
Union City,New Jersey,35.4,35376,33773,69149,705,40553,2.85,NJ,Black or African-American,4686
Oklahoma City,Oklahoma,34.1,309227,322036,631263,41843,80165,2.58,OK,White,462306
Hesperia,California,29.4,43588,49698,93286,3739,16667,3.52,CA,American Indian and Alaska Native,1712
Plantation,Florida,40.6,42881,49674,92555,4037,27902,2.73,FL,Asian,3954
Columbia,Missouri,26.8,56544,62554,119098,4548,10729,2.37,MO,Asian,8673
Rochester,New York,31.4,100135,109673,209808,7288,17735,2.36,NY,Black or African-American,93072
Buffalo,New York,33.1,124537,133529,258066,11231,24630,2.27,NY,Black or African-American,101254
Sunnyvale,California,35.7,79480,72280,151760,3900,71441,2.74,CA,Black or African-American,4210
Arlington,Virginia,34.4,113981,115183,229164,12719,55205,2.19,VA,American Indian and Alaska Native,845
Deerfield Beach,Florida,41.4,37155,42614,79769,3882,23642,2.46,FL,American Indian and Alaska Native,698
Ogden,Utah,31.3,44323,41127,85450,5080,12791,2.68,UT,Asian,1911
Newport Beach,California,46.8,43161,43970,87131,4847,15318,2.4,CA,White,74814
Winston-Salem,North Carolina,34.7,112520,128712,241232,14521,24302,2.47,NC,White,139301
Kenosha,Wisconsin,36.3,49349,50507,99856,6238,7443,2.55,WI,Hispanic or Latino,18772
East Los Angeles,California,32.6,60460,59206,119666,1101,49575,3.75,CA,Black or African-American,508
Gulfport,Mississippi,35.1,33108,38764,71872,6646,3072,2.54,MS,White,42870
Plymouth,Minnesota,38.4,39035,36893,75928,4158,8830,2.46,MN,Hispanic or Latino,3274
Concord,North Carolina,35.7,42732,44961,87693,4621,8847,2.72,NC,White,60500
Henderson,Nevada,42.5,139412,146246,285658,25045,35666,2.55,NV,White,234301
Albany,New York,32.8,47627,50825,98452,3643,11948,2.08,NY,Asian,8090
Riverview,Florida,32.2,44210,45536,89746,6943,12240,3.22,FL,American Indian and Alaska Native,726
San Francisco,California,38.3,439752,425064,864816,26276,297199,2.37,CA,Black or African-American,53270
Columbia,Missouri,26.8,56544,62554,119098,4548,10729,2.37,MO,Black or African-American,15489
League City,Texas,35.9,49354,48996,98350,6484,8361,2.72,TX,White,86012
Rialto,California,31.6,49902,53235,103137,2036,32741,3.83,CA,White,74551
Kenosha,Wisconsin,36.3,49349,50507,99856,6238,7443,2.55,WI,American Indian and Alaska Native,1264
Bk,California,37,50405,54909,105314,4048,32435,2.52,CA,Hispanic or Latino,22089
Berkeley,California,32.5,60142,60829,120971,3736,25000,2.35,CA,Asian,27089
New Britain,Connecticut,33.4,37350,35459,72809,2219,15080,2.52,CT,White,56431
Escondido,California,33.3,76551,74907,151458,8110,46298,3.27,CA,Hispanic or Latino,73793
Appleton,Wisconsin,35.6,37217,38038,75255,4219,4454,2.49,WI,White,64674
Santa Monica,California,40.6,46732,46487,93219,2008,24448,2,CA,Asian,13283
Arlington Heights,Illinois,45.9,37627,39369,76996,3027,14630,2.38,IL,Asian,9975
North Richland Hills,Texas,39.9,35257,33948,69205,5175,7854,2.64,TX,American Indian and Alaska Native,1127
Allen,Texas,37.2,51324,46814,98138,3505,19649,3.04,TX,Asian,15790
Nashua,New Hampshire,38.3,42926,45049,87975,5532,12693,2.46,NH,Black or African-American,4147
Moreno Valley,California,30.7,98584,105597,204181,8529,54442,3.9,CA,White,90391
San Mateo,California,39.3,50966,52558,103524,2730,34957,2.64,CA,Hispanic or Latino,23151
Warwick,Rhode Island,42.6,39289,42409,81698,5799,5318,2.4,RI,White,76999
Carson,California,40.4,43790,49506,93296,4273,33860,3.7,CA,American Indian and Alaska Native,2119
Norwalk,California,35,53125,54020,107145,3027,39396,3.88,CA,Asian,16189
Detroit,Michigan,34.8,319265,357859,677124,29511,39861,2.6,MI,American Indian and Alaska Native,6007
Richardson,Texas,35.5,54676,56151,110827,4797,29579,2.83,TX,Hispanic or Latino,15762
Pearland,Texas,33.9,52336,59329,111665,5621,16882,3,TX,Asian,14683
Gary,Indiana,38.1,35876,41478,77354,3952,1884,2.35,IN,Asian,537
San Marcos,California,35.4,45246,47688,92934,5189,21558,3.13,CA,White,72061
Caguas,Puerto Rico,40.4,34743,42265,77008,,,,PR,American Indian and Alaska Native,624
Clovis,California,37.8,52392,51780,104172,6173,13409,2.76,CA,Black or African-American,3434
Norwalk,California,35,53125,54020,107145,3027,39396,3.88,CA,White,46998
Marysville,Washington,33.2,33436,33337,66773,5714,7721,2.79,WA,White,58894
Yuma,Arizona,33.4,48298,45847,94145,7182,19326,2.64,AZ,White,69691
Antioch,California,34,54733,55809,110542,5681,24942,3.31,CA,American Indian and Alaska Native,3462
Iowa City,Iowa,25.5,37089,37138,74227,2047,9202,2.36,IA,American Indian and Alaska Native,610
Largo,Florida,45.1,38166,42841,81007,8310,10489,2.28,FL,Asian,3249
Santa Clarita,California,38.1,90192,92175,182367,8537,40666,3.02,CA,Hispanic or Latino,56944
Spring Hill,Florida,45.1,48295,54902,103197,9737,7893,2.58,FL,White,91742
Independence,Missouri,38.6,54348,62907,117255,10220,4911,2.33,MO,American Indian and Alaska Native,1883
Alexandria,Virginia,36.6,74989,78522,153511,10635,44030,2.2,VA,Black or African-American,37168
Port Saint Lucie,Florida,42.1,84069,95341,179410,12416,34003,2.91,FL,American Indian and Alaska Native,1536
Vallejo,California,37.8,58379,62890,121269,8103,30592,2.83,CA,Black or African-American,26778
Scranton,Pennsylvania,38.5,37975,39137,77112,5059,8069,2.39,PA,Asian,4722
Toms River,New Jersey,43.7,43864,43886,87750,5042,6852,2.71,NJ,American Indian and Alaska Native,251
Lawrence,Massachusetts,30.8,37464,42776,80240,1190,29170,3.17,MA,White,40757
Miramar,Florida,36.6,66157,70958,137115,3077,57179,3.41,FL,Asian,12084
Stockton,California,32.5,150976,154674,305650,12822,79583,3.16,CA,White,170878
Carlsbad,California,42.1,55119,58347,113466,6031,17689,2.68,CA,Black or African-American,876
Cape Coral,Florida,45,85626,89604,175230,14446,24185,2.85,FL,American Indian and Alaska Native,1040
Waukegan,Illinois,32.3,45514,42833,88347,3404,30997,2.92,IL,Hispanic or Latino,54214
Hollywood,Florida,41.4,75358,74363,149721,6056,55158,2.65,FL,White,107916
San Jose,California,36.5,518317,508602,1026919,27269,401493,3.13,CA,White,442798
Lakeland,Florida,38.1,47840,56570,104410,7390,11592,2.56,FL,Black or African-American,25111
Bayonne,New Jersey,39.7,32705,33598,66303,2225,21899,2.62,NJ,Black or African-American,7581
Richardson,Texas,35.5,54676,56151,110827,4797,29579,2.83,TX,American Indian and Alaska Native,1439
Pharr,Texas,26.9,35242,41293,76535,1376,25532,3.67,TX,White,73694
San Antonio,Texas,33.1,721405,748419,1469824,109089,208046,2.93,TX,Asian,53933
Palm Bay,Florida,40.7,51767,56128,107895,10942,12070,2.82,FL,Black or African-American,20891
New Braunfels,Texas,37,33071,36852,69923,5204,5405,2.85,TX,Hispanic or Latino,22522
Carrollton,Texas,36.9,66928,66218,133146,5720,35327,2.78,TX,American Indian and Alaska Native,812
Jackson,Tennessee,35.3,30007,36973,66980,3529,2097,2.52,TN,American Indian and Alaska Native,564
Topeka,Kansas,37.1,60879,66378,127257,9608,6711,2.32,KS,American Indian and Alaska Native,4804
East Los Angeles,California,32.6,60460,59206,119666,1101,49575,3.75,CA,Asian,1053
Bakersfield,California,30.6,182154,191473,373627,12284,71575,3.23,CA,Hispanic or Latino,180241
West Palm Beach,Florida,39.6,49262,57520,106782,4917,30675,2.53,FL,Black or African-American,39226
Providence,Rhode Island,29.9,89090,90114,179204,4933,53532,2.72,RI,American Indian and Alaska Native,4171
Norwalk,Connecticut,42.4,40880,47603,88483,2877,22328,2.7,CT,White,67844
Tallahassee,Florida,26.2,89390,100504,189894,9575,16720,2.38,FL,Black or African-American,69135
Alafaya,Florida,33.5,39504,45760,85264,4176,15842,2.94,FL,Black or African-American,6577
League City,Texas,35.9,49354,48996,98350,6484,8361,2.72,TX,Asian,8163
Everett,Washington,37,56212,51800,108012,7880,19499,2.36,WA,White,88395
Oakland,California,35.7,203827,215451,419278,12159,113896,2.56,CA,Black or African-American,118228
Charlotte,North Carolina,34.3,396646,430475,827121,36046,128897,2.52,NC,White,446795
Newton,Massachusetts,42.3,41985,46824,88809,1814,21692,2.71,MA,American Indian and Alaska Native,244
Hammond,Indiana,36,38923,38687,77610,4144,9224,2.61,IN,Asian,1540
Ellicott City,Maryland,42.4,34406,36526,70932,3856,17587,2.73,MD,Asian,22551
Kalamazoo,Michigan,26.4,37175,38865,76040,3048,3482,2.36,MI,White,56866
New Bedford,Massachusetts,38.6,43793,51166,94959,4185,19024,2.39,MA,Asian,1811
Nampa,Idaho,31.4,45651,44199,89850,4736,6607,2.98,ID,Hispanic or Latino,22066
Warren,Michigan,43.2,64063,71293,135356,7806,18822,2.45,MI,Black or African-American,29391
Pawtucket,Rhode Island,39.2,36072,35511,71583,3173,17884,2.41,RI,White,47614
Wyoming,Michigan,32.8,35967,39310,75277,3447,8612,2.65,MI,Asian,3227
Dearborn,Michigan,33.5,46482,48698,95180,3163,23920,3.04,MI,Hispanic or Latino,3533
Sandy,Utah,34.6,46923,46689,93612,3451,6691,3.22,UT,White,85130
Simi Valley,California,39,63243,63523,126766,6063,23260,3.13,CA,Hispanic or Latino,34032
Suffolk,Virginia,38.2,43048,45113,88161,10114,2829,2.72,VA,Black or African-American,39107
Mount Pleasant,South Carolina,42.7,39429,41880,81309,3981,4701,2.53,SC,Asian,1827
Atlanta,Georgia,33.8,223960,239915,463875,18572,32016,2.15,GA,Hispanic or Latino,18653
Lorain,Ohio,35.6,30844,32807,63651,4905,1531,2.52,OH,White,46667
Southfield,Michigan,41.6,31369,41808,73177,4035,4011,2.27,MI,American Indian and Alaska Native,983
Westminster,California,42.9,45538,46573,92111,3435,42227,3.27,CA,American Indian and Alaska Native,1022
Waukegan,Illinois,32.3,45514,42833,88347,3404,30997,2.92,IL,White,65629
Tallahassee,Florida,26.2,89390,100504,189894,9575,16720,2.38,FL,American Indian and Alaska Native,1368
Portland,Maine,40.3,31480,35392,66872,3666,9229,2.13,ME,Black or African-American,5750
Athens-Clarke County unified government,Georgia,26.5,57415,65148,122563,3953,12868,2.44,GA,Asian,6635
Bellevue,Washington,37.4,70763,69051,139814,5382,54654,2.43,WA,Black or African-American,4151
Fresno,California,30,256130,263942,520072,18410,103453,3.12,CA,Asian,75318
Tempe,Arizona,28.8,91350,84476,175826,7058,26620,2.44,AZ,American Indian and Alaska Native,4636
Jonesboro,Arkansas,32.6,35666,38240,73906,3682,3222,2.44,AR,Hispanic or Latino,4614
Boca Raton,Florida,47.3,44760,48466,93226,4367,21117,2.22,FL,White,80781
German,Maryland,34.9,41115,43007,84122,2443,27877,2.95,MD,American Indian and Alaska Native,1232
Fort Lauderdale,Florida,42.8,93948,84639,178587,8897,47582,2.38,FL,Asian,3791
Aurora,Colorado,34.2,177899,180971,358870,25158,65816,2.82,CO,White,239803
Baltimore,Maryland,34.7,294027,327822,621849,29540,49857,2.51,MD,American Indian and Alaska Native,7730
Lafayette,Indiana,33.5,34313,36857,71170,5045,5697,2.19,IN,Hispanic or Latino,9151
Oxnard,California,31,101906,105346,207252,6367,78678,4.08,CA,American Indian and Alaska Native,6241
Carmichael,California,41,29281,33934,63215,4225,7378,2.39,CA,Asian,4205
Winston-Salem,North Carolina,34.7,112520,128712,241232,14521,24302,2.47,NC,Black or African-American,87480
Huntington Beach,California,41.6,99967,101960,201927,10454,35368,2.67,CA,White,156071
Daly City,California,39.7,53817,52757,106574,3782,56640,3.26,CA,Asian,61918
Newton,Massachusetts,42.3,41985,46824,88809,1814,21692,2.71,MA,Black or African-American,2925
Green Bay,Wisconsin,32.9,52517,52704,105221,5519,9813,2.37,WI,Black or African-American,7561
Syracuse,New York,30.3,69462,74690,144152,5845,17733,2.39,NY,Asian,9386
Deerfield Beach,Florida,41.4,37155,42614,79769,3882,23642,2.46,FL,White,53037
Bellingham,Washington,30.7,41286,43857,85143,4703,8713,2.44,WA,Asian,8010
